n_queries,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,attack,retriever,defense,epsilon,poison_rate
16.0,0.15312499999999998,0.07154609537237012,0.4714285714285714,0.2772532506695153,0.4714285714285714,0.2,0.25,0.075,0.225,1.1437102900592362,template,st,multi_query,,0.02
16.0,0.1625,0.11126356320961929,0.5,0.31127812445913283,0.5,0.0,0.0,0.0,0.2,0.6529878337835084,template,st,manifold,,0.02
16.0,0.0,0.0,0.5,0.31127812445913283,0.5,0.25,0.125,0.075,0.2375,0.8980523273348808,template,st,repr_group,1.0,0.02
16.0,0.075,0.046299234062400045,0.5,0.31127812445913283,0.5,0.2,0.125,0.0875,0.2,0.897744183242321,template,st,repr_group,0.25,0.02
16.0,0.1625,0.10382631003713179,0.5,0.31127812445913283,0.5,0.2,0.125,0.1,0.175,0.8975402645766736,template,st,repr_group,0.0,0.02
16.0,0.07500000000000001,0.06045995319078682,0.4428571428571428,0.25554046726246826,0.4428571428571428,0.1875,0.3125,0.1375,0.2375,0.8977128632366657,template,st,repr_both,1.0,0.02
16.0,0.0625,0.046059864397904625,0.4714285714285714,0.2772532506695153,0.4714285714285714,0.3,0.3125,0.1375,0.225,0.8977305769920348,template,st,repr_both,0.25,0.02
16.0,0.0375,0.028272543000239878,0.4714285714285714,0.2772532506695153,0.4714285714285714,0.2,0.3125,0.1125,0.25,0.8977538011968136,template,st,repr_both,0.0,0.02
16.0,0.1625,0.05941948981986442,0.5,0.3112781244591329,0.5,0.6041666666666666,0.75,0.5375000000000001,0.1,6.3733685639067446,template_plus_projection,bm25,vanilla,,0.005
16.0,0.15625,0.042202794710066945,0.4743589743589744,0.2889275640871925,0.4743589743589744,0.5555555555555555,0.75,0.525,0.125,1.3798213642157018,template_plus_projection,bm25,multi_query,,0.005
16.0,0.1625,0.05941948981986442,0.5,0.3112781244591329,0.5,0.6041666666666666,0.75,0.5375000000000001,0.1,6.3733685639067446,template_plus_projection,bm25,repr_group,1.0,0.005
16.0,0.1625,0.05941948981986442,0.5,0.3112781244591329,0.5,0.6041666666666666,0.75,0.5375000000000001,0.1,6.3733685639067446,template_plus_projection,bm25,repr_group,0.25,0.005
16.0,0.16250000000000003,0.044428407722618864,0.5,0.3112781244591329,0.5,0.5416666666666666,0.75,0.5375000000000001,0.1,6.297155970676765,template_plus_projection,bm25,repr_group,0.0,0.005
16.0,0.21249999999999997,0.2211691171345592,0.43076923076923074,0.25069148157345755,0.43076923076923074,0.07142857142857142,0.75,0.35,0.16250000000000003,5.844313422633299,template_plus_projection,bm25,repr_both,1.0,0.005
16.0,0.1125,0.10803885474862368,0.4487179487179488,0.26657700371525217,0.4487179487179488,0.35833333333333334,0.75,0.42500000000000004,0.1375,6.049064532639356,template_plus_projection,bm25,repr_both,0.25,0.005
16.0,0.14375,0.11093681899075404,0.4230769230769231,0.24422644334331178,0.4230769230769231,0.375,0.75,0.45,0.1375,6.122196745885127,template_plus_projection,bm25,repr_both,0.0,0.005
16.0,0.38749999999999996,0.2372867657131692,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.6965185552835464,template_plus_projection,st,vanilla,,0.005
16.0,0.40625,0.24893217083093763,0.5,0.31127812445913283,0.5,1.0,1.0,1.0,0.0,1.4144689702635072,template_plus_projection,st,multi_query,,0.005
16.0,0.1875,0.05520827269261023,0.5,0.3112781244591328,0.5,0.4166666666666667,1.0,0.4,0.15000000000000002,-0.35606497907370804,template_plus_projection,st,manifold,,0.005
